[2023-04-25 23:11:21,106] Register 01 - Empty Data - Step 01: Click to register link from HomePage
[2023-04-25 23:11:22,266] Register 01 - Empty Data - Step 02: Click to register button with out any action
[2023-04-25 23:11:22,540] Register 01 - Empty Data - Step 03: Verify Error Message is displayed at First Name Textbox
[2023-04-25 23:11:22,581] Register 01 - Empty Data - Step 04: Verify Error Message is displayed at Last Name Textbox
[2023-04-25 23:11:22,608] Register 01 - Empty Data - Step 05: Verify Error Message is displayed at Email Textbox
[2023-04-25 23:11:22,638] Register 01 - Empty Data - Step 06: Verify Error Message is displayed at Password Textbox
[2023-04-25 23:11:22,667] Register 01 - Empty Data - Step 07: Verify Error Message is displayed at Confirm Password Textbox
[2023-04-25 23:11:22,695] Register 02 - Email Not Valid - Step 01: Click to register link from HomePage
[2023-04-25 23:11:23,095] Register 02 - Email Not Valid - Step 02: Input 'Automation' to first name textbox
[2023-04-25 23:11:23,150] Register 02 - Email Not Valid - Step 03: Input 'Testing' to last name textbox
[2023-04-25 23:11:23,198] Register 02 - Email Not Valid - Step 04: Input 'randdddd678@yu.67#!' to email textbox
[2023-04-25 23:11:23,244] Register 02 - Email Not Valid - Step 05: Input '123456' to password textbox
[2023-04-25 23:11:23,289] Register 02 - Email Not Valid - Step 06: Input '123456' to confirm password textbox
[2023-04-25 23:11:23,333] Register 02 - Email Not Valid - Step 07: Click to register button
[2023-04-25 23:11:23,582] Register 02 - Email Not Valid - Step 08: Verify error message display at Email textbox
[2023-04-25 23:11:23,611] Register 03 - Register Successful - Step 01: Click to register link from HomePage
[2023-04-25 23:11:23,992] Register 03 - Register Successful - Step 02: Input 'Automation' to first name textbox
[2023-04-25 23:11:24,059] Register 03 - Register Successful - Step 03: Input 'Testing' to last name textbox
[2023-04-25 23:11:24,108] Register 03 - Register Successful - Step 04: Input 'automationTest8627@gmail.com' to email textbox
[2023-04-25 23:11:24,154] Register 03 - Register Successful - Step 05: Input '123456' to password textbox
[2023-04-25 23:11:24,199] Register 03 - Register Successful - Step 06: Input '123456' to confirm password textbox
[2023-04-25 23:11:24,240] Register 03 - Register Successful - Step 07: Click to register button
[2023-04-25 23:11:24,933] Register 03 - Register Successful - Step 08: Verify successful message displayed
